Nº	Posic.	Long.	Tipo	Descripción	Validación	Contenido	X	Y	FORMULA	
"50"	"462"	"5"	"Num"	"Liquidación (3) - Atribuible a la Administración del Estado - % [29] ( 3 enteros y 2 decimales)"	"euros"	"Constante 100"	"351"	"802"	""	
"51"	"467"	"13"	"N"	"Liquidación (3) - Atribuible a la Administración del Estado [30]"	"euros"	""	"611"	"802"	"C49 * ( C50 / 100 )"	
"52"	"480"	"13"	"N"	"Liquidación (3) - Cuotas a compensar de periodos anteriores [31]"	"euros"	""	"612"	"825"	""	
"53"	"493"	"13"	"N"	"Liquidación (3) - Entregas intracomunitarias [32]"	"euros"	""	"457"	"840"	""	
"54"	"506"	"13"	"N"	"Liquidación (3) - Exclusivamente tributación conjunta Estado y Diputaciones Forales [33]"	"euros"	""	"108"	"885"	""	
"55"	"519"	"13"	"N"	"Liquidación (3) - Resultado [34]"	"euros"	""	"611"	"884"	"C51 - C52 + C54"	
"56"	"532"	"13"	"N"	"Compensación (4) - Importe a compensar ( si resulta negativa [34] ) [C]"	"euros"	""	"162"	"956"	"POS( -C55 )"	
"57"	"545"	"13"	"N"	"Devolución (6) - Importe [D]"	"euros"	""	"161"	"1073"	""	
"58"	"558"	"4"	"An"	"Devolución (6) - Código cuenta cliente - Entidad"	""	""	"79"	"1115"	""	
"59"	"562"	"4"	"An"	"Devolución (6) - Código cuenta cliente - Oficina"	""	""	"146"	"1114"	""	
"60"	"566"	"2"	"An"	"Devolución (6) - Código cuenta cliente - DC"	""	""	"205"	"1113"	""	
"61"	"568"	"10"	"An"	"Devolución (6) - Código cuenta cliente - Numero de cuenta"	""	""	"241"	"1114"	""	
"62"	"578"	"1"	"An"	"Ingreso (7) - Forma de pago - En efectivo"	"X o en blanco"	""	"527"	"975"	""	
"63"	"579"	"1"	"An"	"Ingreso (7) - Forma de pago - Adeudo en cuenta"	"X o en blanco"	""	"621"	"973"	""	
"64"	"580"	"13"	"N"	"Ingreso (7) - Importe [I]"	"euros"	""	"545"	"1000"	"POS( C55 )"	
"65"	"593"	"4"	"An"	"Ingreso (7) - Código cuenta cliente - Entidad"	""	""	"452"	"1055"	""	
"66"	"597"	"4"	"An"	"Ingreso (7) - Código cuenta cliente - Oficina"	""	""	"513"	"1056"	""	
"67"	"601"	"2"	"An"	"Ingreso (7) - Código cuenta cliente - DC"	""	""	"573"	"1056"	""	
"68"	"603"	"10"	"An"	"Ingreso (7) - Código cuenta cliente - Número de cuenta"	""	""	"609"	"1053"	""	
"69"	"613"	"100"	"A"	""	""	""	""	""	""	
"70"	"713"	"9"	"An"	""	""	""	""	""	""	
"71"	"722"	"350"	"A"	""	""	""	""	""	""	
"72"	"1072"	"2"	"An"	"Firma (8) - Fecha: Día"	""	""	"569"	"1083"	""	
"73"	"1074"	"10"	"A"	"Firma (8) - Fecha: Mes"	""	""	"607"	"1084"	""	
"74"	"1084"	"4"	"An"	"Firma (8) - Fecha: Año"	""	""	"725"	"1085"	""	
"75"	"1088"	"2"	"An"	"Fin de Registro Constante CRLF (Hexadecimal ODOA, Decimal 1310)"	""	""	""	""	""	
