Nº	Posic.	Long.	Tipo	Descripción	Validación	Contenido	X	Y	FORMULA	
"18"	"160"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - Compensación BINs de periodos anteriores [06]"	"euros"	""	"799"	"696"	""	
"19"	"177"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - B1 - Base del pago fraccionado [07]"	"euros"	""	"799"	"739"	""	
"20"	"194"	"5"	"N"	"B) Pago fraccionado Mod 45,3 LIS - B1 - Porcentaje (%) [08]"	"euros"	""	"797"	"759"	""	
"21"	"199"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - B1 - Resultado [09]"	"euros"	""	"797"	"780"	""	
"22"	"216"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - B2 -Base del pago fraccionado [10]"	"euros"	""	"400"	"825"	""	
"23"	"233"	"17"	"N"	"Base del pago fraccionado, hasta ()"	"euros"	""	"371"	"845"	""	
"24"	"250"	"5"	"N"	"B) Pago fraccionado Mod 45,3 LIS - B2 -Tipo %"	"euros"	""	"644"	"844"	""	
"25"	"255"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - B2 -Importe del pago fraccionado [11]"	"euros"	""	"800"	"846"	""	
"26"	"272"	"17"	"N"	"Base del pago fraccionado, Resto"	"euros"	""	"370"	"866"	""	
"27"	"289"	"5"	"N"	"B) Pago fraccionado Mod 45,3 LIS - B2 -Tipo %"	"euros"	""	"643"	"864"	""	
"28"	"294"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - B2 -Importe del pago fraccionado [12]"	"euros"	""	"799"	"868"	""	
"29"	"311"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - B2 -Resultado ([11] + [12]) [13]"	"euros"	""	"800"	"886"	""	
"30"	"328"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - Bonificaciones [14]"	"euros"	""	"801"	"929"	""	
"31"	"345"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - Retenc e ingr a cta sobre los ingresos del per computado [15]"	"euros"	""	"799"	"951"	""	
"32"	"362"	"5"	"N"	"B) Pago fraccionado Mod 45,3 LIS - Volumen de operaciones en Territorio Común (%) [16]"	"euros"	""	"800"	"975"	""	
"33"	"367"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - Rtdo de la declaración anterior (complementarias) [17]"	"euros"	""	"798"	"992"	""	
"34"	"384"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - Pagos fraccionados de periodos anteriores en Territorio Común [18]"	"euros"	""	"799"	"1015"	""	
"35"	"401"	"17"	"N"	"B) Pago fraccionado Mod 45,3 LIS - A ingresar ({[[09] ó [13] -[14]-[15] ]* 16} -[17] -[18]) [19]"	"euros"	""	"798"	"1036"	""	
"36"	"418"	"1"	"Num"	"Forma de pago:0 No consta, 1 En efectivo, 2 Adeudo en cuenta, 3, Domiciliación"	"0 No consta, 1 En efectivo, 2 Adeudo en cuenta, 3, Domiciliación"	""	"553"	"1304"	""	
"37"	"419"	"4"	"Num"	"Entidad"	""	""	"541"	"1399"	""	
"38"	"423"	"4"	"Num"	"Oficina"	""	""	"622"	"1400"	""	
"39"	"427"	"2"	"Num"	"DC"	""	""	"697"	"1402"	""	
"40"	"429"	"10"	"Num"	"Num Cuenta"	""	""	"735"	"1402"	""	
"41"	"439"	"1"	"Num"	"Declaración complementaria"	""	"0 - 1"	"962"	"1135"	""	
"42"	"440"	"13"	"An"	"Número de justificante de la declaración anterior"	""	""	"1165"	""	""	
"43"	"453"	"16"	"An"	"Reservado para la Administración"	""	""	"285"	"1502"	""	
"44"	"469"	"100"	"An"	"Persona de contacto"	""	""	"121"	"1448"	""	
"45"	"569"	"9"	"N"	"Teléfono fijo de contacto"	""	""	"123"	"1473"	""	
"46"	"578"	"9"	"N"	"Teléfono móvil de contacto"	""	""	"230"	"1473"	""	
"47"	"587"	"50"	"An"	"Dirección de correo electrónico"	""	""	"334"	"1473"	""	
"48"	"637"	"13"	"An"	"Reservado para el sello electrónico de la AEAT"	""	""	"124"	"1502"	""	
"49"	"650"	"442"	"An"	"Reservado para la Administración"	""	""	"123"	"1527"	""	
"50"	"1092"	"9"	"An"	"Fin de Registro"	"Obligatorio"	"Constante </T20201>"	"878"	"1473"	""	
